user_id,team1,team2,pick
11,Samford,Minnesota,Minnesota
11,Vanderbilt,UCF,Vanderbilt
11,UAB,Tulane,UAB
11,"Le Moyne","Tennessee St.","Tennessee St."
11,Washington,"Iowa St.","Iowa St."
11,Seattle,"Eastern Washington",Seattle
11,"New Mexico","Mississippi St.","Mississippi St."
11,Ohio,"Tarleton St.",Ohio
11,"Austin Peay","Norfolk St.","Austin Peay"
11,Colorado,Oregon,Colorado
12,"Ohio St.",Arkansas,Arkansas
12,Baylor,Connecticut,Connecticut
12,Oregon,Duke,Duke
12,Creighton,"North Texas",Creighton
12,Missouri,Houston,Houston
12,UCLA,"UC Irvine",UCLA
12,Northwestern,DePaul,Northwestern
12,Nebraska,Purdue,Purdue
12,Mississippi,"San Diego St.","San Diego St."
12,Villanova,Kentucky,Kentucky
12,"Loyola Chicago",Vanderbilt,Vanderbilt
13,Vanderbilt,Akron,Vanderbilt
13,Connecticut,"Mississippi St.",Connecticut
13,"Indiana St.","Kent St.","Kent St."
13,"Seton Hall","Wake Forest","Seton Hall"
13,"Virginia Tech",Missouri,Missouri
13,"Middle Tennessee","George Mason","George Mason"
13,"Kansas St.","San Diego St.","San Diego St."
13,Providence,Minnesota,Providence
13,Iona,"Wichita St.","Wichita St."
13,Houston,"UC Santa Barbara",Houston
13,"Western Illinois","Saint Peter's","Saint Peter's"
13,"Northern Illinois",Maine,"Northern Illinois"
13,Fordham,"San Jose St.","San Jose St."
13,"Mississippi Valley St.","Southern Indiana","Southern Indiana"
13,BYU,"Miami FL","Miami FL"
13,Northeastern,Wofford,Wofford
13,"Utah St.","Saint Louis","Saint Louis"
13,Presbyterian,"Loyola MD","Loyola MD"
13,Richmond,Ohio,Richmond
13,Arizona,Memphis,Arizona
13,"Arkansas St.",Pepperdine,Pepperdine
13,Vermont,Charlotte,Charlotte
13,Mississippi,Illinois,Mississippi
13,Arkansas,Dayton,Arkansas
13,"Cleveland St.",California,California
13,Kentucky,Duke,Kentucky
13,"Southern Miss","Utah Valley","Southern Miss"
13,Denver,"Ball St.","Ball St."
13,Seattle,"Santa Clara","Santa Clara"
13,Tennessee,"Michigan St.",Tennessee
13,"Texas A&M",USC,USC
13,Creighton,Drake,Creighton
13,Radford,"Air Force","Air Force"
13,UAB,"Boise St.",UAB
13,Oregon,Virginia,Oregon
13,"Nebraska Omaha","Georgia Southern","Georgia Southern"
13,TCU,"Ohio St.",TCU
13,Louisville,Drexel,Louisville
13,"Northern Kentucky","Southeastern Louisiana","Northern Kentucky"
13,"Prairie View A&M",Albany,Albany
13,"Saint Francis",Stonehill,"Saint Francis"
13,Gonzaga,Maryland,Gonzaga
13,"Florida St.",Washington,Washington
13,Delaware,Longwood,Longwood
13,"South Florida",Charleston,Charleston
13,"Oral Roberts",Columbia,"Oral Roberts"
13,"UNC Wilmington","Texas St.","UNC Wilmington"
13,Furman,SMU,SMU
13,"St. Thomas","Southeast Missouri St.","Southeast Missouri St."
13,"Morgan St.",Southern,Southern
14,Quinnipiac,Merrimack,Quinnipiac
14,Manhattan,"South Carolina St.",Manhattan
14,"New Mexico",Butler,Butler
14,LSU,Stanford,Stanford
14,Navy,"North Florida",Navy
14,"UC Riverside",Hawaii,Hawaii
14,"Virginia Tech",Tulane,"Virginia Tech"
14,Seattle,"Wichita St.","Wichita St."
14,"Florida Gulf Coast",California,"Florida Gulf Coast"
14,Bradley,"Middle Tennessee",Bradley
14,"Southern Utah","William & Mary","Southern Utah"
14,"Arizona St.",Missouri,Missouri
14,Iowa,"Ohio St.","Ohio St."
14,USC,Kansas,Kansas
14,Wagner,American,American
14,"Oregon St.",Louisiana,Louisiana
14,"Maryland Eastern Shore",Presbyterian,"Maryland Eastern Shore"
14,Washington,Minnesota,Minnesota
14,Alabama,"Saint Mary's","Saint Mary's"
14,Elon,"Le Moyne",Elon
14,Houston,BYU,Houston
14,Penn,Iona,Penn
14,Northwestern,Providence,Northwestern
14,"Florida Atlantic",UCLA,"Florida Atlantic"
14,"Loyola Marymount",Utah,Utah
14,"Louisiana Tech","Murray St.","Murray St."
14,"UC Davis",Marshall,"UC Davis"
14,"Iowa St.","Wake Forest","Iowa St."
14,Towson,UAB,UAB
14,"Wright St.",Cornell,"Wright St."
